title,link,summary
The Lara Croft Collection is a proper treat on Switch,https://www.eurogamer.net/the-lara-croft-collection-is-a-proper-treat-on-switch," The Lara Croft Collection has just landed on Switch, bringing together top-down arcade treats Lara Croft & the Guardian of Light and Lara Croft & The Temple of Osiris. We decided to have a chat about these fascinating and playful parts of the Tomb Raider back catalogue.
Chris: Hello! I thought it might be a good opportunity to talk Tomb Raider with you, since it..."
If Found… and pushing back on shame,https://www.eurogamer.net/if-found-and-pushing-back-on-shame," 
""Have you ever been on a crowded train with one of your best gay friends and, inside, a tiny part of you is cringing because he is being so gay?""That's a question posed by my favourite drag queen and Ireland's self-proclaimed gender discombobulator, Panti Bliss, in a biting speech about ""checking"" herself. What she's ""checking"" is something most queer people ""c..."
How a new generation of drag artists is breaking limits and queering video games,https://www.eurogamer.net/how-a-new-generation-of-drag-artists-is-breaking-limits-and-queering-video-games," 
Hello! Eurogamer is once again marking Pride with another week of features celebrating the intersection of queer culture and gaming in all its guises. Things get underway today as James Croft examines how a new generation of drag performers is combining its art and a deep love of video games to explore and reimagine what bolder, queerer gaming could be.

I was ..."
Final Fantasy 6 contains a scene of perfect desolation - and not every player gets to see it,https://www.eurogamer.net/final-fantasy-6-contains-a-scene-of-perfect-desolation-and-not-every-player-gets-to-see-it," 

Final Fantasy is one of the most famous video game franchises in history. The first game in the series was released so long ago (1987) that I wasn't even born at the time, and several entries that followed became classics of the role-playing genre. Final Fantasy 16, the latest installment is one of the biggest games of the year now in 2023 - this is a franchis..."
What to Play This July,https://www.eurogamer.net/what-to-play-this-july," Hello! Welcome back to our new series, What to Play This Month, a roundup of the best games from the past month, the things we're most excited to play (or otherwise look out for) that are releasing in the month ahead, a quick rundown of the other things coming up, and a few back-catalogue picks that might make a nice compliment for it all - because why stick to ..."
Emma's Adventures: Selling Valheim part two - a king turns tyrant,https://www.eurogamer.net/emmas-adventures-selling-valheim-part-two-a-king-turns-tyrant," Emma's Adventures is a monthly column exclusively for Eurogamer supporters, written by Emma Kent, who has an uncanny knack for finding strange adventures in games. You can support Eurogamer for £3/€3/$3 a month and gain access to a whole variety of things, including this piece. But we're currently offering a free month's trial so you don't have to pay a thing.Th..."
Game of the Week: First-person games are always a head trip,https://www.eurogamer.net/game-of-the-week-first-person-games-are-always-a-head-trip," 

Hello! This week our Game of the Week is actually two games - apologies to any purists. This is partly because I simply cannot choose between Synapse, a VR shooter that Ian absolutely adored, and Sludge Life 2, the parkour and graffiti adventure that I have finished playing and am still thinking about. 

But it's also partly because interesting things happen w..."
What we've been playing,https://www.eurogamer.net/what-weve-been-playing-115," Hello! Welcome back to our regular feature where we write a little bit about some of the games we've found ourselves playing over the last few days. This time: alien worlds, ducks and New Game +.If you fancy catching up on some of the older editions of What We've Been Playing, 
here's our archive.There are two games The Invincible demo reminds me of. One is Call..."
"Emma's Adventures: Selling Valheim, a real-estate saga",https://www.eurogamer.net/emmas-adventures-selling-valheim-a-real-estate-saga," Emma's Adventures is a monthly column exclusively for Eurogamer supporters, written by Emma Kent, who has an uncanny knack for finding strange adventures in games. You can support Eurogamer for £3/€3/$3 a month and gain access to a whole variety of things. Better yet, we're currently offering a free trial so you can get a month's subscription for nothing!We're a..."
Another successful Green Game Jam raises hundreds of thousands for eco causes,https://www.eurogamer.net/another-successful-green-game-jam-raises-hundreds-of-thousands-for-eco-causes," UPDATE 29TH JUNE: The full list of winners for the Green Game Jam are as follows:ORIGINAL STORY 28TH JUNE: This year's Green Game Jam has just wrapped, and as with last year, I was asked to judge the Media's Choice part of it. If you don't know what it is, the Green Game Jam is an annual event organised by the Playing for the Planet Alliance - itself organised b..."
"Five of the Best: Pubs, taverns or inns",https://www.eurogamer.net/five-of-the-best-pubs-taverns-or-inns," Five of the Best is a weekly series for supporters of Eurogamer. It's a series about highlighting some of the features in games that are often overlooked. It's also a series about you having your say, so don't be shy, use the comments below and join in!Oh and you can find our entire Five of the Best archive elsewhere on the site.Pubs or taverns or inns - whateve..."
We've played Nintendo's bizarre bargain bin party game Everybody's 1-2-Switch!,https://www.eurogamer.net/weve-played-nintendos-bizarre-bargain-bin-party-game-everybodys-1-2-switch," 
A fresh first-party Nintendo Switch exclusive arrives in just a couple of days, though you'd be forgiven for being unaware. Announced only at the start of this month - and at the time, without so much as a trailer or a screenshot - the sudden unveiling and seemingly quick turnaround for Everybody 1-2 Switch! raised eyebrows. Stranger still, Nintendo chose to ma..."
"Pikmin 4 streamlines its strategy, and partners you with a scene-stealing space pup",https://www.eurogamer.net/pikmin-4-streamlines-its-strategy-and-partners-you-with-a-scene-stealing-space-pup," 
It's been eight years - eight years! - since Pikmin creator and Nintendo legend Shigeru Miyamoto announced the existence of Pikmin 4 to Eurogamer back in 2015. Now, excitingly, it's just a few weeks away. Was the version Miyamoto had in mind back then similar to the one I've now played? How did the project change over the years since? I'd love to know, as Pikmi..."
Inside Eurogamer: What it's like to be press at a show like E3 or Summer Games Fest,https://www.eurogamer.net/inside-eurogamer-what-its-like-to-be-press-at-a-show-like-e3-or-summer-games-fest," Inside Eurogamer is a monthly podcast that takes you behind the scenes at Eurogamer, where the people who work here talk about what we do, how we do it, and why. Inside Eurogamer is exclusive to Eurogamer Supporters, and you can become a supporter for £3/€3/$3 a month, for this and for many other benefits besides.For years now, we've been bringing you coverage f..."
Game of the Week: Story of Seasons and a different way for games to travel,https://www.eurogamer.net/game-of-the-week-story-of-seasons-and-a-different-way-for-games-to-travel," 

Hello! This week's Game of the Week is Story of Seasons: A Wonderful Life. It's a farming simulator and a remake - the third remake! - of the first game that our reviewer Lottie can remember counting down the days for. It seems like a proper treat, with judicious tweaks but nothing that alters the texture of the original too much. I will give it a go at some p..."
What we've been playing,https://www.eurogamer.net/what-weve-been-playing-114," Hello! Welcome back to our regular feature where we write a little bit about some of the games we've found ourselves playing over the last few days. This time: Diablo, a NES classic, and Spelunky 2.If you fancy catching up on some of the older editions of What We've Been Playing, 
here's our archive.How often do you switch builds in Diablo 4? I seem to be doing ..."
If you're only going to play one Steam Next Fest demo make it...,https://www.eurogamer.net/if-youre-only-going-to-play-one-steam-next-fest-demo-make-it," 
Steam Next Fest is easily one of my favourite parts of the videogames calendar. Loads of demos for forthcoming games suddenly appear on Steam and you can just download as many as you like and try them out. As much as I love it, I've never really found a way to cover it adequately. Over time, though, a sort of process has emerged. I go in with a few of my own ta..."
Final Fantasy 16: as close to flawless as we've seen in a long time,https://www.eurogamer.net/digitalfoundry-2023-final-fantasy-16-as-close-to-flawless-as-weve-seen-in-a-long-time," With new worlds to explore, characters to meet, and battles to fight, all paired with a world-class soundtrack and a sharp presentation, Final Fantasy 16 arrives in excellent condition and gives players exactly the experience the developers intended. It's one of the most polished games we've seen this year on a technical level, taking into account elements from ..."
Five of the Best: Sound effects,https://www.eurogamer.net/five-of-the-best-sound-effects," Five of the Best is a weekly series for supporters of Eurogamer. It's a series about highlighting some of the features in games that are often overlooked. It's also a series about you having your say, so don't be shy, use the comments below and join in!Oh and you can find our entire Five of the Best archive elsewhere on the site.Sorry that there was no Five of t..."
Can a strategy game be horrifying?,https://www.eurogamer.net/can-a-strategy-game-be-horrifying," 
Here's a question for all you armchair General Pattons and Joan of Arcs: has a tactics or strategy game ever made you jump? I've been thinking about this a lot while playing Tindalos Interactive's promising movie adaptation Aliens: Dark Descent, out next week on console and PC, in which you guide a quartet of gung-ho yet fragile troopers around xeno-infested ba..."
Jusant's jump is one of the greatest things in games for an absolute age,https://www.eurogamer.net/jusants-jump-is-one-of-the-greatest-things-in-games-for-an-absolute-age," 
I'd never normally start with a definition, but I gather ""jusant"" translates as ""ebb"", the movement of the tide out to sea. And this is where Jusant's Steam demo begins. What manner of post-apocalypse is this? It's a dry one. The water has gone, we walk over sun-baked earth whose smoothness suggests that it was once far below the ocean, and there's more to clim..."
"Game of the Week: The quiet, restorative puzzles of Botany Manor",https://www.eurogamer.net/game-of-the-week-the-quiet-restorative-puzzles-of-botany-manor," 
One of my favourite paintings is Cucumber House, a watercolour - I think - by Eric Ravilious. It's an airy study in quiet. To me, it always feels like a day off school. We're inside some kind of greenhouse and various plants are growing. Glass slants overhead and there's a sense of careful order, of something lovingly tended, to the layout, the tables, the leav..."
What we've been playing,https://www.eurogamer.net/what-weve-been-playing-113," Hello! Welcome back to our regular feature where we write a little bit about some of the games we've found ourselves playing over the last few days. This time: looting, toasters, and ancient memories of spiders.If you fancy catching up on some of the older editions of What We've Been Playing, 
here's our archive.It was thanks to the son of a family friend that I..."
"""Consciously, everything I make is about to tip over"": Precarious creativity and Bulwark's evolving demo",https://www.eurogamer.net/consciously-everything-i-make-is-about-to-tip-over-precarious-creativity-and-bulwarks-evolving-demo," 
In a shed behind his house, Tomas Sala is building an ocean. Oceans are his thing, of course, and he's built them before. But the shed is new. Last time I saw Sala on a Zoom screen he was working on his debut game, The Falconeer, and working from an attic whose floors were strewn with toys discarded by Sala's newborn baby. Today, he's working on a follow-up, Bu..."
Foamstars turns Splatoon into a genre and then sets it in a Dubai car park,https://www.eurogamer.net/foamstars-turns-splatoon-into-a-genre-and-then-sets-it-in-a-dubai-car-park," 
Foamstars is to Splatoon what Fortnite was to Playerunknown's Battlegrounds - a rip-off, yes, but also an admirably brazen one. And one that might actually take a single game and turn it into a whole genre. If it's very lucky - and also very good.

Maybe unsurprisngyly to anyone who first clocked Square Enix's Foamstars during last month's PlayStation showcase,..."
Armored Core 6: Fires of Rubicon looks fast and ferocious in action,https://www.eurogamer.net/armored-core-6-fires-of-rubicon-looks-fast-and-ferocious-in-action," 
FromSoftware's Armored Core 6: Fires of Rubicon is a series reboot that marries the unique quirks of mech combat with the studio's game design philosophy: smoothness of controls, expansive and dynamic maps, and original, challenging action that demands player ingenuity.


Now, ahead of the game's release in August, we've watched a hands-off gameplay presentatio..."
Star Wars Jedi: Survivor's accessibility options stopped me turning to the Dark Side,https://www.eurogamer.net/star-wars-jedi-survivors-accessibility-options-stopped-me-turning-to-the-dark-side," 

Star Wars: Jedi Survivor is Respawn's version of The Empire Strikes Back. As Jedi Survivor has the advantage of being a sequel, it can acknowledge the criticisms of its predecessor and iterate by adjusting certain gameplay elements. 

""I like firsts. Good or bad they're always memorable."" - Ahsoka Tano

Jedi: Fallen Order had serious accessibility barriers, fr..."
